Gender,Married,Age,Profession,WorkExperience,SpendingScore,FamilySize,Cluster
Male,No,22,Healthcare,1.0,Low,4.0,2
Female,Yes,38,Engineer,,Average,3.0,0
Female,Yes,67,Engineer,1.0,Low,1.0,3
Male,Yes,67,Lawyer,0.0,High,2.0,4
Female,Yes,40,Entertainment,,High,6.0,0
Male,Yes,56,Artist,0.0,Average,2.0,0
Male,No,32,Healthcare,1.0,Low,3.0,2
Female,No,33,Healthcare,1.0,Low,3.0,2
Female,Yes,61,Engineer,0.0,Low,3.0,3
Female,Yes,55,Artist,1.0,Average,4.0,0
Female,No,26,Engineer,1.0,Low,3.0,2
Male,No,19,Healthcare,4.0,Low,4.0,2
Female,No,19,Executive,0.0,Low,,2
Male,Yes,70,Lawyer,,Low,1.0,3
Female,Yes,58,Doctor,0.0,Low,1.0,3
Female,No,41,Healthcare,1.0,Low,2.0,2
Female,No,32,Homemaker,9.0,Low,5.0,1
Male,No,31,Healthcare,1.0,Low,6.0,2
Male,Yes,58,Entertainment,1.0,Average,4.0,0
Female,Yes,79,Artist,0.0,High,1.0,4
Male,Yes,49,Homemaker,12.0,Low,1.0,1
Female,No,18,Healthcare,3.0,Low,4.0,2
Male,Yes,33,Artist,13.0,Low,2.0,1
Female,No,36,Artist,5.0,Low,2.0,1
Female,,58,Executive,1.0,Average,3.0,0
Male,Yes,56,Artist,1.0,Average,3.0,0
Male,No,31,Healthcare,9.0,Low,8.0,1
Male,Yes,49,Artist,1.0,Average,3.0,0
Male,No,35,Artist,0.0,Low,1.0,2
Female,No,35,Artist,5.0,Low,4.0,1
Female,Yes,45,Artist,0.0,Low,3.0,3
Female,Yes,42,Doctor,1.0,Low,2.0,2
Male,No,19,Healthcare,1.0,Low,3.0,2
Male,No,26,Homemaker,9.0,Low,,1
Female,Yes,83,Lawyer,1.0,High,2.0,4
Female,No,27,Healthcare,3.0,Low,4.0,2
Male,No,32,Doctor,5.0,Low,1.0,2
Female,Yes,28,Healthcare,1.0,Average,5.0,0
Female,Yes,28,Artist,8.0,Low,2.0,1
Male,Yes,56,Artist,,Average,2.0,0
Female,No,47,Artist,4.0,Low,1.0,3
Female,No,22,Healthcare,0.0,Low,2.0,2
Female,No,27,Artist,14.0,Low,3.0,1
Female,Yes,49,Artist,1.0,Low,2.0,3
Male,Yes,40,Engineer,8.0,Low,1.0,1
Female,Yes,79,Lawyer,,High,2.0,4
Male,Yes,41,Artist,0.0,Average,4.0,0
Female,No,29,Healthcare,,Low,1.0,2
Male,No,19,Healthcare,0.0,Low,4.0,2
Female,No,45,Engineer,1.0,Low,1.0,2
Female,Yes,61,Artist,1.0,Average,2.0,0
Female,Yes,36,Artist,1.0,Average,2.0,0
Male,Yes,40,Artist,1.0,Low,1.0,3
Female,Yes,57,Entertainment,0.0,Average,2.0,0
Male,Yes,76,Marketing,1.0,Low,1.0,3
Male,Yes,32,Artist,14.0,Average,2.0,1
Male,No,25,Healthcare,9.0,Low,4.0,1
Male,No,32,Doctor,8.0,Low,2.0,1
Female,Yes,45,Artist,1.0,Average,3.0,0
